name,latex,category,average,error,measurements
BR_Lambdab0_pi-_Pc4450+.-BR_Lambdab0_K-_Jpsi_p+,\frac{ {\cal{B}} ( \Lambda_b^0 \to \pi^- P_c(4450)^+ ) }{ {\cal{B}} ( \Lambda_b^0 \to K^- J/\psi p ) },Bbaryon/other,0.16000000000000003,0.08904801723926309,"[{'value': 0.16000000000000003, 'error': 0.10467761142593153}]"
BR_Lambdab0_pi-_Pc4380+.-BR_Lambdab0_K-_Pc4380+,\frac{ {\cal{B}} ( \Lambda_b^0 \to \pi^- P_c(4380)^+ ) }{ {\cal{B}} ( \Lambda_b^0 \to K^- P_c(4380)^+ ) },Bbaryon/other,0.31761354262890457,0.1773397107140678,"[{'value': 0.5, 'error': 0.42288772307942846}]"
BR_Lambdab0_p_Zc4200-.-BR_Lambdab0_K-_Jpsi_p+,\frac{ {\cal{B}} ( \Lambda_b^0 \to p Z_c(4200)^- ) }{ {\cal{B}} ( \Lambda_b^0 \to K^- J/\psi p ) },Bbaryon/other,0.77,0.464371549364077,"[{'value': 0.77, 'error': 0.5938032316260611}]"
BR_Lambdab0_pi-_Pc4380+.-BR_Lambdab0_K-_Jpsi_p+,\frac{ {\cal{B}} ( \Lambda_b^0 \to \pi^- P_c(4380)^+ ) }{ {\cal{B}} ( \Lambda_b^0 \to K^- J/\psi p ) },Bbaryon/other,0.51,0.2597203424062069,"[{'value': 0.51, 'error': 0.3342960161216301}]"
Deltaperp_B_KS_Jpsi,\delta_{\perp} ( B \to J/\psi K^{*} ),B/cc,2.934782335129184,0.023686045405516158,"[{'value': 2.94, 'error': 0.034641016151377546}, {'value': 2.938, 'error': 0.06554387843269577}, {'value': 2.91, 'error': 0.06557438524302}]"
Azero_B_KS_Jpsi,\vert{\cal{A}}_{0}\vert^{2} ( B \to J/\psi K^{*} ),B/cc,0.5640246305418719,0.010015382257908571,"[{'value': 0.574, 'error': 0.017492855684535902}, {'value': 0.556, 'error': 0.01676305461424021}]"
Aperp_B_KS_chi1c,\vert{\cal{A}}_{\perp}\vert^{2} ( B \to \chi_{c1} K^{*} ),B/cc,0.03,0.044721359549996474,"[{'value': 0.03, 'error': 0.048989794855663564}]"
Deltapara_B_KS_psi2S,\delta_{\parallel} ( B \to \psi(2S) K^{*} ),B/cc,-2.8,0.41231056257945714,"[{'value': -2.8, 'error': 0.4242640687119286}]"
Aperp_B_KS_psi2S,\vert{\cal{A}}_{\perp}\vert^{2} ( B \to \psi(2S) K^{*} ),B/cc,0.3,0.06324555320337433,"[{'value': 0.3, 'error': 0.066332495807108}]"
Deltaperp_B_KS_psi2S,\delta_{\perp} ( B \to \psi(2S) K^{*} ),B/cc,2.7999999999999994,0.3162277659178276,"[{'value': 2.8, 'error': 0.33166247903554}]"
Apara_B_KS_Jpsi,\vert{\cal{A}}_{\parallel}\vert^{2} ( B \to J/\psi K^{*} ),B/cc,0.2219426116473958,0.007168522590754984,"[{'value': 0.227, 'error': 0.01606237840420901}, {'value': 0.231, 'error': 0.01649242250247064}, {'value': 0.211, 'error': 0.013114877048604002}]"
Deltapara_B_KS_Jpsi,\delta_{\parallel} ( B \to J/\psi K^{*} ),B/cc,-2.9323853984700166,0.03136168374182494,"[{'value': -2.94, 'error': 0.04690415759823429}, {'value': -2.887, 'error': 0.09070832376358853}, {'value': -2.93, 'error': 0.09797958971132713}]"
Apara_B_KS_psi2S,\vert{\cal{A}}_{\parallel}\vert^{2} ( B \to \psi(2S) K^{*} ),B/cc,0.22,0.06324555320334288,"[{'value': 0.22, 'error': 0.066332495807108}]"
Azero_B_KS_psi2S,\vert{\cal{A}}_{0}\vert^{2} ( B \to \psi(2S) K^{*} ),B/cc,0.48,0.053851648071342705,"[{'value': 0.48, 'error': 0.057445626465380296}]"
Aperp_B_KS_Jpsi,\vert{\cal{A}}_{\perp}\vert^{2} ( B \to J/\psi K^{*} ),B/cc,0.20997568389057744,0.006285990599082745,"[{'value': 0.201, 'error': 0.011999999999999999}, {'value': 0.195, 'error': 0.01649242250247064}, {'value': 0.233, 'error': 0.012247448713915891}]"
Apara_B_KS_chi1c,\vert{\cal{A}}_{\parallel}\vert^{2} ( B \to \chi_{c1} K^{*} ),B/cc,0.2,0.08062257748294252,"[{'value': 0.2, 'error': 0.09000000000000001}]"
Deltapara_B_KS_chi1c,\delta_{\parallel} ( B \to \chi_{c1} K^{*} ),B/cc,0.0,0.3162277660560649,"[{'value': 0.0, 'error': 0.33166247903554}]"
Azero_B_KS_chi1c,\vert{\cal{A}}_{0}\vert^{2} ( B \to \chi_{c1} K^{*} ),B/cc,0.77,0.08062257748303514,"[{'value': 0.77, 'error': 0.09000000000000001}]"
BR_B_D0bar_K_pi0_D0,{\cal{B}} ( B \to D^{0} \bar{D}^{0} \pi^{0} K ),B/DD,0.00127,0.00043913663366419806,"[{'value': 0.00127, 'error': 0.0005359482417626411}]"
